transaction_id,transaction_date,merchant_name,merchant_category,raw_amount,currency,amount_usd,gateway_region,status,risk_score,payment_method,user_id,high_value_flag,high_risk_flag
T001,2026-03-01,Alpha Mart,Grocery,420000,INR,4998.0,APAC,captured,62.0,UPI,U001,0,0
T002,2026-03-01,Alpha Mart,Grocery,210000,INR,2499.0,APAC,captured,55.0,Card,U002,0,0
T003,2026-03-01,Beta Stores,Electronics,510000,INR,6069.0,APAC,captured,71.0,NetBanking,U003,1,1
T004,2026-03-02,Beta Stores,Electronics,160000,INR,1920.0,APAC,failed,68.0,Card,U004,0,0
T005,2026-03-02,Alpha Mart,Grocery,390000,INR,4680.0,APAC,captured,58.0,UPI,U001,0,0
T006,2026-03-02,Beta Stores,Electronics,275000,INR,3300.0,APAC,captured,64.0,Wallet,U005,0,0
T007,2026-03-02,Alpha Mart,Grocery,450000,INR,5400.0,APAC,chargeback,83.0,Card,U006,1,1
T008,2026-03-03,Beta Stores,Electronics,340000,INR,4114.0,APAC,captured,59.0,UPI,U007,0,0
T009,2026-03-03,Alpha Mart,Grocery,125000,INR,1512.5,APAC,captured,46.0,Wallet,U002,0,0
T010,2026-03-03,Beta Stores,Electronics,610000,INR,7381.0,APAC,captured,77.0,Card,U003,1,1
T011,2026-03-03,Alpha Mart,Grocery,195000,INR,2359.5,APAC,failed,,UPI,U008,0,0
T012,2026-03-04,Beta Stores,Electronics,250000,INR,3000.0,APAC,captured,61.0,Card,U009,0,0
T013,2026-03-04,Alpha Mart,Grocery,310000,INR,3720.0,APAC,captured,54.0,UPI,U010,0,0
T014,2026-03-04,Beta Stores,Electronics,470000,INR,5640.0,APAC,captured,73.0,NetBanking,U001,1,1
T015,2026-03-04,Alpha Mart,Grocery,130000,INR,1560.0,APAC,captured,52.0,Card,U002,0,0
T016,2026-03-05,Beta Stores,Electronics,220000,INR,2596.0,APAC,failed,69.0,Card,U008,0,0
T017,2026-03-05,Beta Stores,Electronics,180000,INR,2124.0,APAC,failed,72.0,Card,U008,0,1
T018,2026-03-05,Beta Stores,Electronics,145000,INR,1711.0,APAC,chargeback,86.0,UPI,U008,0,1
T019,2026-03-05,Alpha Mart,Grocery,260000,INR,3068.0,APAC,failed,67.0,Wallet,U008,0,0
T020,2026-03-05,Alpha Mart,Grocery,520000,INR,6136.0,APAC,captured,75.0,UPI,U005,1,1
T021,2026-03-06,Beta Stores,Electronics,330000,INR,3927.0,APAC,captured,63.0,Card,U006,0,0
T022,2026-03-06,Alpha Mart,Grocery,410000,INR,4879.0,APAC,captured,60.0,UPI,U007,0,0
T023,2026-03-01,City Pharma,Healthcare,5200,EUR,5616.0,EU,captured,42.0,Card,U003,0,0
T024,2026-03-02,Eco Home,Home,6100,EUR,6649.0,EU,chargeback,65.0,Card,U004,1,1
T025,2026-03-03,City Pharma,Healthcare,2800,EUR,3024.0,EU,captured,38.0,Wallet,U005,0,0
T026,2026-03-05,Eco Home,Home,3300,EUR,3597.0,EU,failed,44.0,NetBanking,U006,0,0
T027,2026-03-01,Delta Travels,Travel,7200,USD,7200.0,US,captured,49.0,Card,U007,1,0
T028,2026-03-02,Delta Travels,Travel,3100,USD,3100.0,US,captured,41.0,Card,U008,0,0
T029,2026-03-04,Delta Travels,Travel,2500,USD,2500.0,US,chargeback,58.0,Wallet,U009,0,1
T030,2026-03-06,Delta Travels,Travel,1800,USD,1800.0,US,failed,47.0,UPI,U010,0,0
